time/fps,time/episodes,time/time_elapsed,time/total timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,train/critic_loss,train/learning_rate,train/n_updates,train/actor_loss
947,10,0,500,-304.5025169,50.0,,,,
1025,20,0,1000,-301.01578685,50.0,,,,
1003,30,1,1500,-285.8510091666667,50.0,,,,
1029,40,1,2000,-291.03626075,50.0,,,,
1014,50,2,2500,-282.64456828000004,50.0,,,,
1029,60,2,3000,-298.96032551666667,50.0,,,,
1041,70,3,3500,-299.82253791428565,50.0,,,,
1028,80,3,4000,-298.35855268750004,50.0,,,,
602,90,7,4500,-360.76850481111103,50.0,0.8775748488306999,0.0001,400,7.091433634757996
461,100,10,5000,-398.92213406,50.0,0.5473526418209076,0.0001,800,8.003793973922729
350,110,15,5500,-401.82748864999996,50.0,0.47129385665059087,0.0001,1400,8.2792377948761
314,120,19,6000,-384.45459938000005,50.0,0.4078520487248898,0.0001,1800,7.892516832351685
272,130,23,6500,-379.18040858,50.0,0.18890594229102134,0.0001,2400,7.1334880924224855
253,140,27,7000,-374.49650194000003,50.0,0.14212124716490507,0.0001,2800,7.014179682731628
232,150,32,7500,-379.70838792999996,50.0,0.09272255152463912,0.0001,3400,6.870625886917114
218,160,36,8000,-367.14664582999995,50.0,0.07811948159709572,0.0001,3800,6.825808095932007
204,170,41,8500,-361.18463125,50.0,0.0651376930065453,0.0001,4400,6.74301121711731
199,180,45,9000,-354.62383317,50.0,0.06143229521811008,0.0001,4800,6.609973011016845
185,190,51,9500,-291.26734235,50.0,0.05720535911619663,0.0001,5400,6.582811155319214
183,200,54,10000,-255.47878561000002,50.0,0.059369092378765344,0.0001,5800,6.666265659332275
176,210,59,10500,-253.00996789999996,50.0,0.06200663924217224,0.0001,6400,6.763300132751465
173,220,63,11000,-269.02321207999995,50.0,0.05755949288606644,0.0001,6800,6.7343375825881955
168,230,68,11500,-274.30160976,50.0,0.0531885526701808,0.0001,7400,6.7451701354980464
167,240,71,12000,-275.62296634,50.0,0.05340038345195353,0.0001,7800,6.773592691421509
163,250,76,12500,-269.3121582,50.0,0.06091759478673339,0.0001,8400,6.738543100357056
162,260,79,13000,-268.00296228999997,50.0,0.06023198606446385,0.0001,8800,6.732954430580139
159,270,84,13500,-267.88017564,50.0,0.058577081039547924,0.0001,9400,6.728761048316955
158,280,88,14000,-284.55186494,50.0,0.05998246980831027,0.0001,9800,6.792659220695495
155,290,93,14500,-293.26723396999995,50.0,0.05731517551466823,0.0001,10400,6.901915912628174
155,300,96,15000,-282.90739576,50.0,0.05645388305187225,0.0001,10800,6.936473021507263
152,310,101,15500,-278.25407908,50.0,0.045093964114785196,0.0001,11400,6.923772401809693
152,320,104,16000,-279.65119167999995,50.0,0.05065808644518256,0.0001,11800,6.995722665786743
150,330,109,16500,-284.15647972,50.0,0.046695267837494614,0.0001,12400,7.0434358072280885
150,340,113,17000,-277.8001970800001,50.0,0.057001907378435135,0.0001,12800,7.0024108839035035
147,350,118,17500,-281.49030213000003,50.0,0.056454138979315754,0.0001,13400,7.019278073310852
146,360,122,18000,-279.0617175,50.0,0.04466904954984784,0.0001,13800,7.053638730049133
145,370,127,18500,-278.86810869999994,50.0,0.04818666403181851,0.0001,14400,7.01338686466217
144,380,131,19000,-269.87636785,50.0,0.06614226601086556,0.0001,14800,7.068880896568299
142,390,136,19500,-262.41550288,50.0,0.03780940932221711,0.0001,15400,7.0567851257324214
141,400,140,20000,-259.46783044000006,50.0,0.05182028240524232,0.0001,15800,7.09477656841278
140,410,145,20500,-261.27806851,50.0,0.04375220193527639,0.0001,16400,7.158355326652527
140,420,149,21000,-254.3328207,50.0,0.04787895088084042,0.0001,16800,7.174433717727661
139,430,154,21500,-253.84165569,50.0,0.045970377046614885,0.0001,17400,7.2264514780044555
139,440,157,22000,-259.38465623,50.0,0.029321028427220883,0.0001,17800,7.228088617324829
138,450,162,22500,-252.06020936000002,50.0,0.044405277259647845,0.0001,18400,7.285279035568237
138,460,166,23000,-253.85533780999998,50.0,0.04088331750594079,0.0001,18800,7.334276528358459
137,470,170,23500,-252.65297023999995,50.0,0.0916480652987957,0.0001,19400,7.341820034980774
137,480,174,24000,-242.05583453,50.0,0.045304968683049084,0.0001,19800,7.3654169797897335
137,490,178,24500,-241.42673942000002,50.0,0.03954161478672177,0.0001,20400,7.378691539764405
137,500,182,25000,-242.3959569,50.0,0.03669357801787555,0.0001,20800,7.425609693527222
136,510,187,25500,-235.81081545,50.0,0.04074499012902379,0.0001,21400,7.465257611274719
136,520,190,26000,-235.17184246999997,50.0,0.056871251994743945,0.0001,21800,7.517068972587586
135,530,195,26500,-229.16363102999995,50.0,0.02960948889609426,0.0001,22400,7.527783341407776
135,540,199,27000,-224.49636316,50.0,0.05984772143885493,0.0001,22800,7.583031368255615
134,550,204,27500,-223.64782265000002,50.0,0.030479626371525226,0.0001,23400,7.624388799667359
134,560,208,28000,-223.82381987999997,50.0,0.04579929429572076,0.0001,23800,7.639730415344238
133,570,212,28500,-224.15280017,50.0,0.03484150705393404,0.0001,24400,7.741801733970642
134,580,216,29000,-222.66311717000005,50.0,0.07445062621496618,0.0001,24800,7.751675963401794
132,590,222,29500,-218.14503262999997,50.0,0.03232751260511577,0.0001,25400,7.755806803703308
133,600,225,30000,-216.66625194999997,50.0,0.04153059878386557,0.0001,25800,7.817382845878601
132,610,230,30500,-214.33663156,50.0,0.08951237123459578,0.0001,26400,7.933229846954346
132,620,233,31000,-217.63498571,50.0,0.058409539191052316,0.0001,26800,7.942021355628968
