time/total timesteps,time/fps,time/episodes,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/learning_rate,train/critic_loss,train/n_updates,train/actor_loss
500,946,10,50.0,0,-325.4932647,,,,
1000,1021,20,50.0,0,-369.6824839,,,,
1500,1006,30,50.0,1,-335.2202387666667,,,,
2000,1029,40,50.0,1,-322.444511575,,,,
2500,1016,50,50.0,2,-307.07259017999996,,,,
3000,1031,60,50.0,2,-302.97945433333336,,,,
3500,1012,70,50.0,3,-294.1111434428571,,,,
4000,1023,80,50.0,3,-298.47502199999997,,,,
4500,577,90,50.0,7,-312.42833575555557,0.0001,0.9267934003472328,400,6.1996552276611325
5000,431,100,50.0,11,-318.55600501,0.0001,0.5663217583298683,800,6.607635655403137
5500,324,110,50.0,16,-295.71310137999996,0.0001,0.46643239587545393,1400,6.163480577468872
6000,284,120,50.0,21,-275.54047730999997,0.0001,0.3405195489525795,1800,5.884829630851746
6500,244,130,50.0,26,-276.72939614,0.0001,0.17988189831376075,2400,5.548840045928955
7000,223,140,50.0,31,-278.35038564999996,0.0001,0.13431857641786338,2800,5.457124643325805
7500,203,150,50.0,36,-282.31799625,0.0001,0.07370723189786077,3400,5.430909032821655
8000,196,160,50.0,40,-273.24291110999997,0.0001,0.0579970334097743,3800,5.346194324493408
8500,183,170,50.0,46,-270.68259577000003,0.0001,0.045868363166227936,4400,5.315870184898376
9000,179,180,50.0,50,-267.93654571,0.0001,0.040935624595731496,4800,5.3527061557769775
9500,170,190,50.0,55,-258.52029387,0.0001,0.03708077183924616,5400,5.449899172782898
10000,167,200,50.0,59,-248.82462955000003,0.0001,0.03516243980266154,5800,5.490549139976501
10500,160,210,50.0,65,-265.71460552,0.0001,0.03249002755619586,6400,5.512930817604065
11000,157,220,50.0,69,-266.64831365000003,0.0001,0.02922097354196012,6800,5.560895609855652
11500,152,230,50.0,75,-270.23674056,0.0001,0.030429513063281774,7400,5.612168002128601
12000,151,240,50.0,79,-267.54175243,0.0001,0.026197334695607425,7800,5.594841189384461
12500,147,250,50.0,84,-266.30407672999996,0.0001,0.0257411476271227,8400,5.646945500373841
13000,147,260,50.0,88,-278.83169350000003,0.0001,0.02655354140792042,8800,5.75867290019989
